avg,elo,ff,loss
1168146,1073,345,389
1169038,1025,83,94
1169390,944,5,5
1169656,1003,17,19
1170121,1349,70,144
1171077,1165,47,94
1172437,784,16,17
1172964,1141,88,120
1173453,1261,2,4
1173768,861,11,11
1174459,1474,32,48
1174858,1025,96,110
1175147,1160,72,129
1176444,1205,45,77
1176880,1115,26,30
1177033,1195,1,8
1177597,1032,218,229
1177795,783,25,25
1177851,1140,80,121
1179588,1016,10,15
1179727,1223,12,23
1179833,1185,0,3
1179974,1140,2,5
1180329,1072,2,4
1181522,1106,59,71
1182621,1141,130,244
1183152,1235,13,59
1183870,1092,131,140
1183979,1097,20,23
1184648,1135,9,18
1184856,1104,5,11
1185588,1037,6,14
1186233,988,22,23
1186310,1070,17,21
1186315,1169,0,4
1186843,1112,68,88
1187092,1051,6,11
1188175,943,22,22
1188187,864,33,39
1188460,1195,0,12
1188683,1046,6,7
1189510,1040,33,63
1189550,1205,6,11
1189564,1098,15,24
1189968,1182,284,320
1190007,1002,107,109
1190301,1187,10,22
1190482,1071,45,65
1191285,765,31,31
1191388,1229,29,44
1191462,975,8,8
1191786,1017,8,13
1192443,1166,10,32
1192467,1146,436,517
1192539,1141,32,70
1192552,898,52,60
1192971,1155,3,4
1193730,957,48,60
1193987,1133,45,63
1194597,1167,14,30
1194663,1215,0,7
1196320,1121,64,165
1197726,773,214,251
1197780,1244,19,32
1198078,1016,85,107
1198380,1030,97,129
1198947,1061,57,87
1199282,1310,232,340
1200561,1215,1,3
1200969,1321,14,32
1201292,961,95,104
1202053,1142,3,5
1203762,1034,3,5
1205041,1252,12,28
1205704,967,7,10
1205838,1207,21,35
1206064,1194,9,15
1206660,1250,1,7
1206993,1079,145,248
1207042,912,30,34
1209576,934,23,27
1210146,773,146,151
1210162,1221,3,10
1210574,966,18,20
1211317,1213,38,57
1211540,906,53,62
1212328,1171,64,120
1212799,871,15,19
1212989,1084,17,28
1213811,919,5,8
1213906,1120,5,7
1214258,912,101,116
1216856,1142,11,29
1216859,1011,36,53
1217228,1267,80,249
1217277,1047,16,21
1217362,1218,76,89
1217543,962,92,105
1217941,1015,97,120
1218109,1156,7,18
1219021,1109,57,159
1219103,1133,9,39
1219482,1122,74,141
1220586,1153,94,116
1220767,1136,11,17
1221717,1130,7,15
1221927,874,4,6
1222399,1005,41,52
1222456,1082,21,33
1222708,1241,25,79
1222945,1170,103,138
1222981,1041,22,55
1223584,1015,14,16
1224179,1083,1,4
1224786,1132,49,84
1225605,1024,53,68
1226198,965,9,10
1226499,1138,2,4
1229315,1207,4,15
1229332,1130,4,11
1229625,1134,36,46
1229722,1078,12,15
1231005,1051,17,21
1231836,1125,52,136
1231869,1131,4,11
1231905,1280,3,15
1232169,1292,2,4
1234030,1027,181,198
1234059,908,5,5
1234533,1017,4,7
1234998,1140,138,278
1237648,1094,440,486
1237746,862,87,87
1237793,907,11,13
1237880,1121,66,84
1238607,1206,91,126
1239120,969,4,4
1239590,1228,0,2
1240208,852,2,4
1240255,1105,256,301
1241221,1219,22,54
1241476,1255,155,207
1241628,1233,18,44
1242202,1188,26,45
1242346,953,7,10
1243206,1090,111,119
1243318,748,24,28
1243842,1089,28,36
1243961,938,1,4
1244556,959,88,107
1244810,806,28,28
1245267,1024,4,6
1245320,502,33,34
1245490,1204,45,131
1247089,888,21,24
1247189,1160,12,33
1247947,909,106,120
1248162,1197,20,38
1248268,1051,38,50
1248522,983,81,85
1249499,1073,97,181
1249633,1016,18,19
1249652,1255,11,25
1250029,1155,25,52
1250055,1285,1,5
1250111,954,7,10
1250965,918,168,180
1251192,1185,215,264
1251477,916,19,19
1252045,993,54,64
1253707,944,30,43
1254632,1098,128,143
1254644,1031,17,23
1254675,968,25,34
1254801,918,12,13
1254871,1028,4,11
1254925,978,14,16
1255194,1134,6,11
1255435,1066,5,9
1256015,937,8,17
1256395,1011,42,54
1256566,1076,4,11
1256611,903,399,417
1256767,1140,1,2
1257020,1285,100,164
1257663,1113,6,7
1258518,1256,6,23
1259287,1077,5,5
1259357,1021,18,28
1259822,967,30,40
1260021,950,24,25
1261054,1291,5,16
1261308,1134,83,140
1262140,1017,6,8
1262765,1095,216,294
1264009,1048,1,4
1264250,1179,170,205
1264449,1205,286,434
1264924,967,20,26
1265361,1208,19,165
1266565,1090,59,218
1266602,906,83,92
1267498,1172,1,3
1268110,888,22,22
1268596,1058,46,72
1269069,690,32,32
1270764,1112,108,149
1271462,1113,42,61
1271756,1087,1,5
1272224,1188,61,91
1274098,959,14,15
1274374,1017,17,17
1275031,1208,38,56
1275391,1117,29,79
1275544,1099,11,29
1275570,937,45,48
1276888,1187,5,13
1277206,1154,9,18
1277393,1101,13,63
1277794,1237,1,6
1277916,740,23,23
1278175,1077,61,83
1278432,1182,0,3
1278599,887,7,8
1278784,950,54,59
1278879,1020,29,47
1279147,1092,1,1
1279348,1096,68,109
1280587,1076,41,50
1280824,1037,9,13
1280904,980,26,26
1281034,1252,40,78
1281300,1057,9,19
1281547,1098,64,74
1282119,1095,5,8
1282691,1159,5,24
1283559,1109,161,205
1283857,931,22,23
1284305,1117,18,34
1285770,1012,12,12
1286691,942,51,88
1287166,911,7,8
1287766,1074,115,177
1287939,787,19,22
1288162,909,42,51
1291898,1220,9,13
1292015,1036,36,49
1292176,1090,20,27
1292291,1115,12,23
1292580,1065,29,34
1292628,1099,151,224
1292937,1046,23,48
1293723,1116,67,81
1294177,1078,35,85
1295191,1073,36,44
1295389,998,260,311
1295527,919,16,17
1295540,1108,233,325
1295977,1189,430,521
1296426,1259,0,4
1298215,995,72,77
1300084,1112,9,10
1300607,878,1,4
1301173,1162,4,25
1302229,916,99,162
1302273,1227,42,61
1302756,976,73,85
1303973,1042,70,105
1304473,1145,30,47
1305841,1048,8,10
1306766,1002,3,3
1307436,1066,2,4
1308569,1012,5,5
1309129,835,43,46
1309269,921,225,247
1309444,1061,10,15
1310576,1024,11,12
1310811,1011,20,26
1311640,987,140,142
1311923,1240,22,41
1312576,1207,5,16
1312621,1146,59,87
1313052,1026,5,10
1313222,817,10,13
1314144,1064,17,19
1314236,836,23,23
1314614,1132,81,98
1314833,1184,63,94
1315187,953,21,34
1315772,1080,54,66
1316226,1027,5,6
1316374,1108,12,61
1316427,1100,43,59
1316513,1065,8,12
1317274,1040,15,18
1318456,1238,34,97
1319930,1070,45,66
1321175,975,23,27
1321436,1135,16,24
1323166,1246,249,423
1323820,1006,77,112
1323888,941,4,6
1324478,927,44,45
1325332,1089,37,122
1325438,972,143,163
1326409,961,56,64
1326882,1079,80,108
1327358,1155,39,51
1328059,960,30,34
1329189,726,50,50
1329738,970,228,242
1329794,996,15,18
1329983,905,43,51
1330770,676,38,39
1330837,1105,94,116
1330954,952,10,12
1331371,919,10,12
1331459,799,107,134
1332656,971,25,28
1332679,1014,67,84
1333412,1006,22,27
1333650,1234,8,26
1334108,1095,10,14
1334497,807,36,38
1335404,1062,35,53
1335463,1299,7,60
1336538,856,192,212
1336701,890,68,76
1336967,885,200,210
1337330,967,4,4
1337477,1163,71,148
1337891,1054,8,9
1338158,1129,3,9
1338444,1195,16,40
1338606,1114,31,50
1338766,1181,4,8
1339303,891,30,31
1339334,1018,13,14
1339338,1001,13,20
1339458,947,7,13
1342785,1131,105,125
1343001,976,13,14
1343791,1115,27,69
1344434,992,9,10
1344692,933,4,6
1345680,990,17,18
1346042,1019,47,57
1346480,983,4,16
1346668,1051,36,50
1347879,1043,9,12
1348527,1048,35,49
1349933,1041,19,25
1350333,1182,17,67
1352985,964,16,19
1353166,880,31,32
1353227,1043,23,30
1353943,1003,12,16
1354240,1010,136,163
1354693,754,45,47
1355247,963,11,15
1355947,1107,5,15
1359694,1106,11,17
1360009,519,28,28
1361501,943,21,25
1361523,1099,192,323
1362124,868,13,15
1362304,1130,2,6
1362388,945,49,56
1363458,992,4,5
1365848,968,12,16
1366192,1213,3,6
1366333,1080,1,10
1367971,1141,134,149
1368067,959,1,3
1368231,941,232,292
1370384,872,11,11
1370746,797,26,28
1370755,875,4,4
1371034,973,130,174
1371363,1056,10,11
1371492,935,12,13
1371858,970,5,7
1372197,1070,23,42
1372272,1005,178,214
1373014,1111,10,21
1374320,1051,7,12
1374467,975,33,36
1374506,871,21,24
1374585,566,96,97
1375181,740,202,211
1376461,997,71,78
1376773,1150,33,64
1377586,1069,41,55
1378811,1255,32,69
1379001,637,80,81
1379768,744,45,48
1380293,1019,77,96
1380453,1026,94,157
1380564,1071,15,22
1380784,790,12,13
1380811,956,40,52
1380885,1207,21,39
1381479,1080,63,84
1381716,1136,1,3
1383140,1253,20,41
1384856,1093,6,14
1385959,785,20,23
1387160,1036,18,19
1387338,993,12,12
1387655,752,86,89
1388857,978,41,45
1388859,1146,3,14
1390274,1068,12,22
1391264,806,16,19
1391299,904,21,23
1393497,703,110,121
1394409,959,84,102
1394628,895,26,45
1394837,813,22,23
1395714,902,9,10
1396647,905,111,121
1396998,921,31,40
1397147,1092,41,81
1397673,1091,1,3
1398121,928,46,47
1399652,1089,29,32
1399694,910,3,6
1401875,1059,46,54
1402229,723,21,22
1403333,984,5,5
1404327,1000,84,114
1404658,1051,0,2
1404866,1078,4,4
1405496,1072,41,43
1406065,998,28,46
1406128,1012,33,39
1406573,1264,2,8
1407779,898,83,92
1408547,1023,7,13
1409140,1006,64,72
1410105,811,5,9
1410190,1174,10,20
1410436,818,7,8
1410576,936,3,6
1410814,1000,21,25
1411058,935,60,68
1411683,1072,24,40
1413117,1094,29,57
1413804,709,128,144
1415035,1157,34,45
1415258,1073,15,15
1418239,938,26,31
1418374,888,19,20
1418795,1002,11,20
1419260,1201,16,34
1419763,1039,4,9
1419836,1082,159,224
1423282,995,17,28
1423426,1063,63,82
1423525,1014,48,54
1423597,791,13,19
1425650,1032,27,44
1426163,1083,5,16
1426327,965,29,34
1428141,1050,32,33
1429134,1033,9,18
1430184,1072,13,19
1431716,1018,63,86
1432469,1083,11,25
1433603,890,13,15
1433886,855,11,13
1433897,1248,0,3
1434067,1152,14,22
1437323,954,26,32
1437976,1103,3,3
1439070,935,97,106
1439070,908,31,33
1440447,1210,91,111
1441493,1135,16,54
1441642,1027,20,30
1442161,1039,28,34
1442545,1032,162,290
1443432,1036,8,14
1443882,1153,19,50
1444104,980,38,44
1447024,1049,3,6
1447280,887,5,6
1449637,808,27,28
1450299,1123,5,42
1450700,924,23,25
1452005,895,225,278
1452669,922,120,149
1452706,988,13,17
1452935,1004,19,22
1454323,1031,54,76
1455726,1054,5,14
1456144,1029,73,122
1456176,959,15,24
1457214,942,25,30
1458160,968,19,20
1459129,970,15,20
1459181,1111,4,5
1459302,944,78,93
1461990,916,3,5
1462269,937,26,26
1464397,895,203,224
1464873,978,7,7
1464888,1096,12,55
1467903,1162,27,38
1467959,1017,50,65
1468208,1094,34,73
1468521,738,81,83
1470292,865,121,169
1470858,954,19,30
1472080,1180,72,152
1473696,870,14,16
1474173,542,14,15
1474298,828,31,38
1474605,1193,29,63
1475211,1045,202,283
1475385,996,51,62
1475513,836,3,5
1477062,1186,12,25
1478355,1108,22,30
1478720,972,11,18
1479132,1029,95,150
1479578,873,6,7
1479616,926,23,24
1481591,794,14,14
1481825,1012,60,70
1482041,1101,392,473
1483163,1053,20,31
1483958,1005,7,8
1484962,1006,12,12
1485340,1044,9,9
1485610,1202,3,11
1486472,910,16,17
1486907,1117,0,1
1490991,828,310,321
1493189,936,203,218
1493462,1280,5,14
1493847,984,16,16
1494318,845,6,7
1496287,1175,5,7
1496424,1113,9,36
1497391,937,48,51
1498594,688,41,47
1499704,1002,10,15
1499943,862,16,18
1500302,1024,61,78
1500498,1003,68,82
1505633,1033,29,35
1505713,1112,48,113
1505856,1065,16,23
1506243,931,166,192
1506536,1008,4,11
1506805,1046,6,20
1507064,819,28,30
1507114,1000,7,8
1507233,1109,33,71
1507582,1015,7,18
1507768,861,19,22
1508086,837,79,82
1509058,746,10,12
1509543,911,15,15
1510171,1228,13,25
1510735,1093,42,58
1511048,940,7,9
1513838,1064,9,18
1514585,1135,2,7
1515042,981,18,18
1515609,916,89,102
1517358,1008,1,3
1518265,884,51,61
1519329,853,7,8
1521916,1008,10,11
1522132,838,24,32
1522191,1034,33,35
1522388,826,50,50
1522417,636,45,49
1524121,1019,53,65
1524424,863,5,5
1526820,1001,5,5
1526965,1039,14,14
1527076,882,9,13
1530195,1050,16,20
1531084,946,87,103
1532083,1088,9,23
1533223,1157,7,20
1534470,1013,15,18
1536072,1049,38,40
1536622,1112,45,92
1537511,1148,8,8
1540550,895,2,3
1540802,920,66,70
1540823,952,100,119
1542399,1024,11,32
1543214,1078,12,21
1543258,788,36,41
1543323,1116,36,49
1544055,880,19,20
1544301,1060,9,20
1544332,759,33,34
1544411,1082,3,4
1545943,1178,5,17
1546519,1206,62,91
1550146,1075,15,16
1550251,955,33,43
1552762,1043,16,21
1552999,1021,15,22
1553516,903,20,22
1553620,908,11,16
1553630,841,8,8
1554677,901,174,187
1555777,1102,68,86
1556072,1027,80,102
1556248,947,27,41
1557405,895,83,93
1559017,1083,25,31
1560104,920,22,30
1562848,940,9,11
1563471,1022,10,15
1564885,1027,46,58
1564929,922,17,26
1565368,1018,15,24
1565464,815,10,10
1568739,1064,9,13
1568779,1080,100,132
1569600,888,43,53
1570515,1087,19,28
1572690,993,25,25
1573130,835,33,33
1573495,852,9,10
1574225,1068,5,8
1574478,754,84,88
1574535,864,8,12
1575228,1124,23,27
1577870,926,14,17
1578614,1015,21,28
1580649,1000,183,253
1583929,1115,228,346
1585207,906,31,32
1585675,872,7,8
1585843,929,29,58
1586437,855,82,84
1586880,1031,51,69
1587349,980,29,56
1587825,989,42,46
1588066,918,24,39
1588479,1039,51,64
1588970,857,20,23
1590090,694,194,212
1590629,963,16,17
1591163,973,17,22
1592615,1018,2,6
1594142,768,16,20
1600485,940,12,15
1603477,1021,14,17
1603876,1031,46,56
1604338,849,324,383
1604424,869,8,9
1604869,951,58,68
1608916,1076,75,83
1609416,831,91,109
1612727,991,96,118
1615258,964,46,53
1616502,668,207,213
1617262,549,18,18
1619162,924,4,4
1624911,1006,27,39
1627021,1069,46,70
1628524,943,27,41
1629868,1102,55,83
1632209,887,27,27
1634022,980,69,75
1634999,464,30,30
1636092,1076,69,84
1636233,1107,46,61
1636861,1015,36,72
1639568,644,31,32
1640171,1071,3,22
1640960,1028,29,53
1641545,896,10,12
1642991,924,39,45
1643943,921,21,22
1644106,922,11,12
1644623,1039,4,5
1644965,1191,105,125
1645487,992,7,7
1646659,891,32,36
1647493,817,157,179
1648216,684,65,66
1648602,1067,3,4
1649137,1009,12,12
1650037,775,92,93
1650249,1015,7,9
1650836,823,250,288
1651043,1000,23,37
1651859,896,176,194
1652749,688,102,107
1653701,945,20,27
1655022,897,8,20
1656064,977,18,33
1656980,976,4,6
1659578,1076,0,3
1660671,981,62,80
1661043,1249,0,3
1663014,1101,30,49
1663082,745,131,137
1667579,902,59,64
1668483,1011,463,610
1669845,774,57,58
1670554,940,8,14
1674248,887,34,38
1675084,743,31,32
1676124,983,145,178
1677224,917,44,58
1681457,1136,9,21
1683532,946,52,55
1686317,1104,48,102
1688972,1109,16,24
1691613,908,3,5
1693491,994,129,216
1693565,802,23,26
1694569,1070,2,4
1695177,1138,105,244
1697744,986,39,45
1701201,1098,3,5
1702545,932,51,57
1704055,1165,2,4
1705250,974,34,35
1709539,983,45,51
1709709,1005,13,20
1711578,911,4,6
1712804,940,33,52
1713705,986,4,17
1714040,1054,44,51
1716126,1073,42,76
1717313,834,48,52
1717795,997,150,227
1719137,1030,161,206
1720473,997,8,22
1721824,951,78,85
1727936,949,4,7
1731400,1048,58,83
1732881,910,28,30
1734424,1126,27,40
1734923,930,95,107
1735184,1113,4,5
1736606,1063,9,11
1736862,1160,17,40
1736898,793,238,248
1737641,992,31,46
1738094,702,8,8
1742299,948,1,3
1744853,785,179,191
1745406,991,4,6
1745469,989,11,14
1747206,1069,9,23
1748378,782,30,35
1749107,782,14,19
1752265,681,35,37
1754689,728,32,34
1755485,1021,121,186
1755913,926,21,23
1758774,936,5,8
1763119,990,37,48
1766325,988,35,64
1767561,616,284,285
1768997,928,15,18
1771576,1056,24,42
1773981,1006,23,33
1774962,784,56,60
1775200,1018,59,92
1776386,1076,47,69
1776891,1027,3,4
1779307,991,4,8
1781044,755,55,57
1781405,978,11,16
1784572,989,25,33
1787823,902,15,15
1789411,921,40,41
1790801,1086,6,11
1794009,965,5,11
1800295,917,18,21
1801605,955,4,5
1802137,970,13,16
1802596,1034,10,14
1807285,848,25,27
1809404,928,7,8
1810657,914,156,172
1819333,896,52,56
1821029,731,181,193
1821441,804,19,21
1830009,876,35,41
1837694,835,7,7
1841550,1047,0,3
1843361,904,45,54
1843825,938,31,43
1847569,725,62,63
1848085,873,11,18
1848526,731,81,85
1849733,905,119,129
1850270,1005,49,66
1851949,861,209,279
1851967,1040,10,15
1855537,693,6,6
1858296,978,58,66
1864652,864,31,38
1865238,919,113,133
1867860,1111,2,17
1880503,977,26,43
1881565,855,37,40
1887327,999,15,17
1892772,977,28,46
1893453,881,60,64
1895089,749,112,115
1902970,818,8,8
1907326,940,76,79
1912302,1064,2,3
1912993,868,165,202
1913641,1113,28,38
1914330,897,36,43
1918109,873,13,15
1918229,980,46,67
1932359,649,36,37
1939094,969,81,85
1940029,913,64,79
1941507,1047,2,5
1942109,829,11,23
1945035,867,58,63
1949898,985,17,23
1952191,982,29,40
1957687,650,10,11
1958778,817,29,32
1959270,740,32,32
1959430,812,31,32
1962312,1004,8,12
1969363,937,16,19
1970436,813,57,60
1973424,841,10,15
1974213,652,124,134
1987624,1009,7,18
1990354,965,4,6
1990403,684,126,129
1997642,870,30,37
1997941,901,23,26
2000463,902,39,43
2002732,1134,5,7
2003976,1039,39,45
2004457,502,136,141
2005683,904,4,5
2006820,901,6,7
2008781,734,22,26
2008874,780,4,4
2012062,1022,27,36
2016297,716,110,117
2016629,988,41,50
2017809,1042,22,35
2018737,950,14,16
2019923,695,109,124
2022994,846,100,107
2025975,934,25,27
2027006,681,58,69
2037462,1053,53,68
2039381,559,109,111
2041389,1079,71,88
2042217,523,249,252
2048611,1121,7,8
2048697,1198,1,5
2055814,845,178,210
2062634,822,13,19
2076473,976,14,18
2082017,707,123,126
2087207,1014,13,25
2092892,942,81,102
2095666,818,15,20
2096583,994,10,15
2098047,1011,6,10
2100033,710,10,12
2108276,922,14,21
2115580,847,6,7
2121291,1191,1,4
2122274,975,9,9
2125778,907,5,8
2126048,928,37,49
2128849,832,8,10
2132659,722,10,10
2137145,676,79,82
2141023,893,22,22
2141638,879,42,47
2151150,762,56,58
2152605,1037,6,6
2154048,1013,46,60
2156343,983,26,42
2165343,650,27,28
2168794,798,9,9
2184353,799,64,70
2189054,954,22,27
2190390,946,7,9
2208665,999,90,102
2214359,750,87,92
2216988,893,12,14
2224020,1005,17,33
2229991,970,11,11
2233153,802,41,43
2236487,1005,50,57
2245459,1009,9,16
2251402,927,44,47
2256153,789,3,4
2262966,958,42,51
2266282,991,15,19
2267286,905,52,63
2281210,828,76,83
2284601,910,21,28
2293079,1061,14,16
2299531,971,16,20
2310126,881,7,20
2316698,684,14,15
2338980,1011,4,6
2340453,700,46,46
2348145,925,7,9
2349457,923,6,7
2373579,926,75,86
2377223,722,9,10
2378991,918,8,10
2382248,757,25,32
2382795,944,11,24
2386479,1033,46,67
2387110,880,86,120
2392841,933,37,46
2394792,760,33,37
2396682,968,8,22
2409335,579,52,54
2412608,883,18,19
2424316,895,11,12
2431511,968,32,41
2432508,904,15,19
2441036,858,47,56
2442784,883,25,30
2443862,829,79,84
2457332,1105,5,6
2457519,977,63,81
2466981,737,437,468
2468799,779,98,108
2471460,852,6,6
2473246,807,21,26
2522726,965,2,5
2539870,899,9,9
2564590,978,33,36
2571747,681,49,50
2573540,947,46,64
2582160,881,40,46
2604034,768,21,21
2604034,903,7,7
2628329,923,27,32
2659819,842,17,31
2659971,887,9,11
2666465,832,76,76
2670281,1025,3,5
2702249,1080,7,26
2702422,785,26,28
2709883,679,5,5
2711549,983,8,10
2714556,823,132,139
2714827,980,97,130
2722538,985,11,12
2729846,888,9,9
2740510,883,5,7
2760894,971,38,42
2766036,917,9,13
2780365,806,10,11
2792699,788,12,14
2810784,919,5,7
2831598,1092,25,39
2847444,1092,4,9
2857226,759,23,23
2887501,855,17,22
2957127,816,8,8
2962860,754,40,46
2979088,835,7,9
2980429,666,337,357
2996763,807,14,17
3046171,958,8,9
3059385,949,19,27
3062290,990,26,34
3155917,845,33,33
3247099,938,0,3
3390307,893,5,6
3396206,697,9,9
3489268,1049,87,137
3562659,904,10,16
3571331,836,6,8
4047550,824,20,21
4173284,928,4,7
4175839,1049,13,16
4195280,905,5,6
4203009,946,6,8
4342040,955,81,145
4354196,872,8,10
4711202,871,8,11
5085406,681,17,17
5133500,977,1,4
5149147,844,25,26
5621472,881,32,39
6279337,973,14,21
8021288,808,26,28
9397463,744,18,18
10109985,855,13,24
